           16.4        13.2112       -29.2731        -16.062       0.825697              0        1.17163
           16.6        10.9817       -27.0436       -16.0619       0.686356              0       0.931814
           16.8        10.3285       -26.3904       -16.0619        0.64553              0        2.03964
             17        11.7839       -27.8458       -16.0619       0.736493              0        1.22915
           17.2        11.0891        -27.151       -16.0618       0.693071              0        1.10495
           17.4        10.0553       -26.1171       -16.0618       0.628457              0        1.60608
           17.6        11.7064       -27.7685       -16.0621       0.731648              0       0.985653
           17.8        12.4923       -28.5544       -16.0621        0.78077              0        1.53233
             18        12.8541       -28.9162        -16.062       0.803383              0        1.40866
           18.2        9.03785       -25.0998        -16.062       0.564866              0        1.51252
           18.4        9.74121       -25.8034       -16.0622       0.608826              0        1.12574
           18.6         11.634       -27.6961       -16.0622       0.727123              0        1.54345
           18.8          14.92       -30.9822       -16.0622       0.932502              0       0.961713
             19        13.1269       -29.1891       -16.0622       0.820433              0        1.36813
           19.2        11.5172       -27.5794       -16.0622       0.719823              0        1.00116
           19.4        9.37606       -25.4381       -16.0621       0.586004              0        1.68261
           19.6        10.0458       -26.1081       -16.0623       0.627864              0          2.273
           19.8        12.0618        -28.124       -16.0622       0.753865              0        1.81591
             20         11.728       -27.7901       -16.0622       0.732998              0        1.08542
           20.2        10.7652       -26.8273       -16.0621       0.672824              0        1.09476
           20.4        8.34777         -24.41       -16.0622       0.521736              0       0.944956
           20.6        16.3415       -32.4039       -16.0624        1.02134              0        1.12295
           20.8        12.9848       -29.0472       -16.0623       0.811553              0        1.17239
             21        13.0757       -29.1381       -16.0624        0.81723              0        1.30091
           21.2        13.5827       -29.6453       -16.0626       0.848916              0        1.20069
           21.4        7.48044        -23.543       -16.0625       0.467528              0        1.55408
           21.6        13.3216       -29.3842       -16.0627       0.832598              0        1.33907
           21.8        11.6251       -27.6877       -16.0626       0.726567              0        1.23734
             22        12.4347       -28.4973       -16.0626       0.777171              0        1.23182
           22.2        8.53271       -24.5952       -16.0625       0.533294              0        1.44342
           22.4        10.3428       -26.4053       -16.0624       0.646427              0        1.34287
           22.6        10.8267       -26.8891       -16.0625       0.676666              0         1.3258
           22.8        11.8583       -27.9208       -16.0625       0.741142              0        1.32127
             23        12.3679       -28.4305       -16.0626       0.772994              0        1.29232
           23.2        8.48337       -24.5459       -16.0625       0.530211              0        1.00756
           23.4        12.4965       -28.5592       -16.0626       0.781032              0        1.02372
           23.6        11.6569       -27.7196       -16.0627       0.728557              0        1.54813
           23.8        12.8871       -28.9498       -16.0626       0.805445              0        1.30732
             24        12.1828       -28.2454       -16.0626       0.761424              0        1.25786
           24.2        13.7077       -29.7703       -16.0625       0.856734              0        0.99697
           24.4        10.2844       -26.3468       -16.0624       0.642774              0        1.18966
           24.6        12.4238       -28.4863       -16.0625        0.77649              0        1.14289
           24.8        11.8913       -27.9536       -16.0624       0.743204              0        1.46822
             25        11.7598       -27.8223       -16.0625       0.734987              0        1.08142
           25.2        13.7355       -29.7978       -16.0624       0.858467              0        1.20811
           25.4        9.54214       -25.6046       -16.0624       0.596384              0       0.912465
           25.6        12.1229       -28.1851       -16.0622       0.757682              0        1.00573
           25.8         8.2903       -24.3526       -16.0623       0.518144              0        1.22581
             26        12.5187        -28.581       -16.0624       0.782416              0        1.05691
           26.2        10.9634       -27.0258       -16.0624       0.685212              0        1.60444
           26.4        9.89018       -25.9525       -16.0623       0.618136              0         1.0115
           26.6        10.0121       -26.0745       -16.0624       0.625758              0        1.28397
           26.8        14.3954       -30.4578       -16.0624       0.899714              0        1.30596
             27        6.99429       -23.0568       -16.0625       0.437143              0        1.19864
           27.2        11.2147       -27.2772       -16.0625        0.70092              0         1.2873
           27.4        14.4534       -30.5158       -16.0624       0.903337              0        1.15573
           27.6        9.92537       -25.9878       -16.0624       0.620336              0        1.18957
           27.8        12.7354       -28.7975       -16.0622       0.795961              0        1.30973
             28        10.3204       -26.3825       -16.0622       0.645022              0        1.16307
           28.2        11.9063       -27.9685       -16.0622       0.744143              0        1.50704
           28.4        11.0294       -27.0917       -16.0622       0.689338              0        1.29544
           28.6        11.2919       -27.3542       -16.0623       0.705746              0        1.59531
           28.8        11.3544       -27.4167       -16.0623       0.709648              0        1.08386
             29        12.7939       -28.8562       -16.0623       0.799618              0        1.14868
           29.2        10.1482       -26.2106       -16.0624       0.634262              0        1.18411
           29.4        10.2169       -26.2792       -16.0623       0.638554              0        1.10234
           29.6        10.5244       -26.5867       -16.0623       0.657773              0        1.37881
           29.8        14.3392       -30.4017       -16.0625       0.896199              0        1.20739
             30        11.2076         -27.27       -16.0624       0.700478              0         1.0588
           30.2        8.86763         -24.93       -16.0624       0.554227              0        1.41604
           30.4        15.9131       -31.9756       -16.0624       0.994571              0        1.15084
           30.6        13.5026        -29.565       -16.0624       0.843911              0        1.54017
           30.8        12.1536       -28.2159       -16.0623       0.759598              0        1.22878
             31         11.172       -27.2343       -16.0623       0.698249              0        1.34409
           31.2        13.6407        -29.703       -16.0623       0.852543              0        1.00627
           31.4        13.2122       -29.2746       -16.0624       0.825764              0        1.19285
           31.6        11.3127       -27.3751       -16.0624       0.707045              0        1.17557
           31.8        8.71067       -24.7729       -16.0623       0.544417              0        1.04086
             32        11.8394       -27.9018       -16.0624       0.739961              0        1.20363
           32.2        12.2642       -28.3266       -16.0624       0.766512              0        1.57491
