2.4571,5.36117
5.67752,1.71373
8.78284,0.333301
5.26025,7.3919
4.12976,4.34353
1.2297,8.01117
7.5963,9.55759
3.22521,7.37942
0.402976,0.962569
1.24487,4.88304
2.7112,4.10426
7.99703,4.69231
6.30031,3.20097
4.74935,8.64239
1.64315,0.550176
7.71555,3.05075
6.40094,9.11267
6.01405,6.12408
5.13549,3.07622
9.65283,3.52509

2.14338,5.09212
5.98103,1.96784
9.10349,0.56952
4.93756,7.157
4.31935,4.68851
1.0368,7.66096
7.21941,9.70828
3.59717,7.22695
0.802996,0.895839
0.861623,4.94835
2.96517,3.80548
7.74428,4.99914
6.21774,2.81823
4.83843,9.02865
1.57109,0.158172
7.77489,3.4487
6.01002,9.17293
6.40738,6.06961
5.11022,3.47315
9.68439,3.12689

1.81361,4.81115
6.12011,1.59658
9.42723,0.805906
4.76473,6.90063
4.50955,5.01884
0.844378,7.31062
6.82414,9.85154
3.82205,7.09774
1.17669,0.855405
0.500917,5.01519
3.22085,3.52029
7.48688,5.30017
6.28699,3.07615
4.78409,9.41853
1.52007,9.73906
7.82846,3.85355
5.78232,9.23327
6.8024,6.01325
5.09658,3.86913
9.71436,2.72931

1.46573,4.53122
6.24405,1.15463
9.75599,1.04564
5.11053,6.55391
4.7085,5.33345
0.652145,6.95966
6.43991,0.0173704
3.52931,7.05476
1.54089,0.814056
0.160354,5.07923
3.4783,3.2394
7.55678,5.2022
6.36405,3.41123
4.43766,9.83272
1.47321,9.32106
7.87549,4.26809
5.83437,9.25102
6.87098,6.34315
5.08453,4.27478
9.74366,2.32875

1.10363,4.25691
6.35613,1.1275
0.123816,1.15385
5.50883,6.28329
4.84949,5.59358
0.459576,6.60633
6.2011,9.93659
3.24312,7.00897
1.90133,0.760906
9.83417,5.13952
3.73764,2.96054
7.56934,5.42087
6.4372,3.75403
4.10326,0.243472
1.42576,8.91559
8.08463,4.22933
5.7407,9.10504
6.82494,6.80607
5.08354,4.65482
9.73823,2.05911

0.733064,3.98812
6.46257,1.4584
0.610146,0.879143
6.15432,6.31604
4.67844,5.82979
0.263555,6.24482
6.11067,9.75558
2.9583,6.96227
2.25857,0.705554
9.51734,5.2014
3.9978,2.6824
7.51613,5.80533
6.50876,4.10407
3.77115,0.653526
1.37889,8.51287
8.35067,4.03142
5.50083,8.70207
6.76888,7.25455
5.16785,4.75725
9.61849,2.17172

0.357104,3.72238
6.56746,1.78336
1.09872,0.609346
6.68599,6.3856
4.49479,6.12589
0.0593787,5.87009
6.03488,9.6053
2.67384,6.91544
2.60822,0.646647
9.2071,5.26821
4.25788,2.40249
7.57387,6.15838
6.5729,4.46178
3.44137,1.069
1.33275,8.11011
8.61776,3.84049
