              0            160       -8.11643        151.884              8           -nan
            0.1        149.549        2.39191        151.941        7.47747              0
            0.2         156.25       -4.31909        151.931        7.81251        1.04339
            0.3        157.691        -5.7161        151.975        7.88456        1.09113
            0.4        151.229       0.835653        152.064        7.56144         2.7245
            0.5        159.038       -6.98479        152.053        7.95188         2.1796
            0.6        149.754        2.36717        152.121        7.48771        1.81633
            0.7        162.678       -10.5755        152.103        8.13392        1.95406
            0.8        156.952       -4.83649        152.116        7.84762         1.7098
            0.9        160.568       -8.43046        152.137         8.0284        1.91392
              1        159.596       -7.17816        152.418        7.97982        1.80783
            1.1        156.886       -4.36369        152.522        7.84429        1.64348
            1.2        163.015       -10.4963        152.519        8.15076        1.61167
            1.3        144.558        8.10856        152.666         7.2279         1.4877
            1.4        129.671        23.5717        153.243        6.48357        1.38143
            1.5        154.746       -1.82877        152.917        7.73729        1.28934
            1.6        160.526       -7.52352        153.003        8.02631        1.20875
            1.7        163.294       -10.2782        153.016         8.1647        1.25193
            1.8        160.109       -6.96858        153.141        8.00547         1.4012
            1.9        157.726       -4.57712        153.149        7.88631        1.32745
              2        156.716       -3.56017        153.156         7.8358        1.44361
            2.1        160.591       -7.42807        153.163        8.02957        1.37487
            2.2        161.361       -8.11277        153.249        8.06807        1.44033
            2.3        148.174        5.25257        153.427         7.4087        1.38227
            2.4        156.437       -3.05299        153.384        7.82183        1.43033
            2.5        155.679       -2.29888         153.38        7.78397        1.51739
            2.6        154.722       -1.30957        153.413        7.73612        1.49236
            2.7        155.963       -2.50511        153.458        7.79813        1.50148
            2.8        156.149       -2.70703        153.442        7.80747         1.5043
            2.9          117.8        36.7124        154.512           5.89        1.45243
              3        141.259        12.6817        153.941        7.06296        1.49555
            3.1        134.362        19.8206        154.183        6.71811           1.47
            3.2        162.208       -8.09945        154.109        8.11041        1.51657
            3.3        161.234       -6.98242        154.252        8.06172        1.56125
            3.4        156.876       -2.60323        154.272        7.84378        1.58518
            3.5         157.87       -3.61655        154.254        7.89351        1.53989
            3.6        154.028       0.304376        154.332         7.7014        1.54383
            3.7         148.04         6.4854        154.525        7.40201        1.50211
            3.8        136.067        18.8096        154.876        6.80333        1.46258
            3.9        161.824       -7.25395         154.57        8.09121        1.48796
              4        161.513       -6.92516        154.588        8.07564        1.45076
            4.1        161.369       -6.77069        154.598        8.06844        1.41538
            4.2        162.229       -7.63435        154.594        8.11143        1.38168
            4.3        156.222       -1.57468        154.648        7.81112        1.43462
            4.4        155.906       -1.01044        154.895        7.79529        1.45562
            4.5        160.911       -6.03192        154.879        8.04555        1.46083
            4.6          160.6       -5.74671        154.853        8.02998         1.4715
            4.7        159.162       -4.22806        154.934        7.95811        1.55652
            4.8        164.946       -9.96287        154.983         8.2473        1.58379
            4.9        157.437       -2.42102        155.016        7.87187        1.55147
              5        165.317       -10.3038        155.013        8.26586        1.53631
            5.1        164.588       -9.57701        155.011         8.2294        1.50619
            5.2        166.239       -11.2241        155.015        8.31196        1.52992
            5.3        159.884       -4.77759        155.107        7.99422        1.57873
            5.4        131.058        24.5514        155.609        6.55289        1.54949
            5.5        161.903       -6.34695        155.556        8.09516        1.52132
            5.6        148.828         6.8982        155.726        7.44141        1.49415
            5.7        163.052       -7.22476        155.827         8.1526        1.51571
            5.8        163.728       -7.89801         155.83        8.18642         1.5749
            5.9        164.187       -8.34529        155.842        8.20936         1.5482
              6        152.694        3.26242        155.956         7.6347        1.56709
            6.1        165.809       -9.95352        155.856        8.29046         1.5414
            6.2        165.828       -9.94905        155.879        8.29142         1.5468
            6.3        154.864         1.1441        156.008        7.74319        1.57217
            6.4        154.855        1.15401        156.009        7.74273        1.58645
            6.5        162.046       -5.85572         156.19        8.10231        1.57397
            6.6        163.283       -7.02767        156.255        8.16414        1.58295
            6.7        155.089        1.17732        156.266        7.75445        1.55933
            6.8        160.761       -4.44766        156.313        8.03805         1.5364
            6.9        162.439       -6.12795        156.311        8.12196        1.51413
              7        157.354       -1.05352        156.301        7.86772        1.62736
            7.1         162.99       -6.60669        156.383         8.1495        1.63828
            7.2        161.953       -5.52668        156.426        8.09765        1.61553
            7.3        145.478         11.139        156.617         7.2739        1.66194
            7.4        161.885       -5.40872        156.476        8.09423        1.65689
