              0              1
              0              2
              0              1
              0              1
              0        1.41421
              0        2.23607
              0        1.41421
              0              2
              0        2.23607
              0        2.82843
              0        2.23607
              0              1
              0        1.41421
              0        2.23607
              0        1.41421
           0.05              1
           0.05        1.99929
           0.05        1.00071
           0.05              1
           0.05        1.41421
           0.05        2.23543
           0.05        1.41472
           0.05        1.99929
           0.05        2.23543
           0.05        2.82742
           0.05        2.23575
           0.05        1.00071
           0.05        1.41472
           0.05        2.23575
           0.05        1.41522
            0.1       0.999991
            0.1        1.99848
            0.1        1.00153
            0.1       0.999991
            0.1         1.4142
            0.1         2.2347
            0.1        1.41529
            0.1        1.99848
            0.1         2.2347
            0.1        2.82627
            0.1        2.23539
            0.1        1.00153
            0.1        1.41529
            0.1        2.23539
            0.1        1.41638
           0.15       0.999986
           0.15        1.99908
           0.15        1.00094
           0.15       0.999986
           0.15         1.4142
           0.15        2.23524
           0.15        1.41487
           0.15        1.99908
           0.15        2.23524
           0.15        2.82712
           0.15        2.23566
           0.15        1.00094
           0.15        1.41487
           0.15        2.23566
           0.15        1.41554
            0.2        1.00001
            0.2        1.99997
            0.2        1.00002
            0.2        1.00001
            0.2        1.41423
            0.2        2.23605
            0.2        1.41423
            0.2        1.99997
            0.2        2.23605
            0.2        2.82838
            0.2        2.23605
            0.2        1.00002
            0.2        1.41423
            0.2        2.23605
            0.2        1.41424
           0.25              1
           0.25         1.9995
           0.25         1.0005
           0.25              1
           0.25        1.41421
           0.25        2.23562
           0.25        1.41457
           0.25         1.9995
           0.25        2.23562
           0.25        2.82772
           0.25        2.23584
           0.25         1.0005
           0.25        1.41457
           0.25        2.23584
           0.25        1.41492
            0.3       0.999981
            0.3        1.99854
            0.3        1.00148
            0.3       0.999981
            0.3        1.41419
            0.3        2.23475
            0.3        1.41525
            0.3        1.99854
            0.3        2.23475
            0.3        2.82636
            0.3        2.23542
            0.3        1.00148
            0.3        1.41525
            0.3        2.23542
            0.3        1.41631
           0.35       0.999996
           0.35        1.99888
           0.35        1.00113
           0.35       0.999996
           0.35        1.41421
           0.35        2.23506
           0.35        1.41501
           0.35        1.99888
           0.35        2.23506
           0.35        2.82684
           0.35        2.23557
           0.35        1.00113
           0.35        1.41501
           0.35        2.23557
           0.35        1.41581
            0.4        1.00001
            0.4        1.99988
            0.4        1.00011
            0.4        1.00001
            0.4        1.41422
            0.4        2.23597
            0.4         1.4143
            0.4        1.99988
            0.4        2.23597
            0.4        2.82826
            0.4        2.23601
            0.4        1.00011
            0.4         1.4143
            0.4        2.23601
            0.4        1.41437
           0.45       0.999995
           0.45        1.99965
           0.45       0.999658
           0.45       0.999995
           0.45        1.41456
           0.45        2.23609
           0.45        1.41415
           0.45        1.99965
           0.45        2.23609
           0.45        2.82829
           0.45        2.23572
           0.45       0.999658
           0.45        1.41415
           0.45        2.23572
           0.45        1.41373
            0.5       0.999995
            0.5        1.99859
            0.5       0.998591
            0.5       0.999995
            0.5        1.41571
            0.5        2.23622
            0.5        1.41396
            0.5        1.99859
            0.5        2.23622
            0.5        2.82793
            0.5        2.23465
            0.5       0.998591
            0.5        1.41396
            0.5        2.23465
            0.5        1.41222
           0.55       0.999989
           0.55         1.9986
           0.55       0.998615
           0.55       0.999989
           0.55        1.41574
           0.55        2.23627
           0.55        1.41399
           0.55         1.9986
           0.55        2.23627
           0.55        2.82799
           0.55        2.23468
           0.55       0.998615
           0.55        1.41399
           0.55        2.23468
           0.55        1.41226
            0.6       0.999995
            0.6        1.99967
            0.6       0.999677
            0.6       0.999995
            0.6         1.4146
            0.6        2.23615
            0.6        1.41418
            0.6        1.99967
            0.6        2.23615
            0.6        2.82836
            0.6        2.23575
            0.6       0.999677
            0.6        1.41418
            0.6        2.23575
            0.6        1.41376
           0.65        1.00007
           0.65        1.99975
           0.65        1.00017
           0.65        1.00007
           0.65        1.41413
           0.65        2.23594
           0.65        1.41439
           0.65        1.99975
           0.65        2.23594
           0.65        2.82826
           0.65        2.23593
           0.65        1.00017
           0.65        1.41439
           0.65        2.23593
           0.65        1.41446
            0.7       0.999989
            0.7        1.99869
            0.7        1.00132
            0.7       0.999989
            0.7        1.41405
            0.7        2.23494
            0.7        1.41506
            0.7        1.99869
            0.7        2.23494
            0.7        2.82673
            0.7        2.23544
            0.7        1.00132
            0.7        1.41506
            0.7        2.23544
            0.7        1.41607
           0.75       0.999917
           0.75        1.99863
           0.75        1.00145
           0.75       0.999917
           0.75        1.41424
           0.75        2.23476
           0.75        1.41516
           0.75        1.99863
           0.75        2.23476
           0.75        2.82635
           0.75        2.23548
           0.75        1.00145
           0.75        1.41516
           0.75        2.23548
           0.75        1.41627
            0.8        1.00008
            0.8        1.99969
            0.8        1.00023
            0.8        1.00008
            0.8        1.41438
            0.8        2.23581
            0.8        1.41456
            0.8        1.99969
            0.8        2.23581
            0.8        2.82793
            0.8        2.23598
            0.8        1.00023
            0.8        1.41456
            0.8        2.23598
            0.8        1.41454
           0.85        1.00004
           0.85        1.99965
           0.85       0.999607
           0.85        1.00004
           0.85        1.41448
           0.85        2.23597
           0.85        1.41411
           0.85        1.99965
           0.85        2.23597
           0.85        2.82813
           0.85        2.23567
           0.85       0.999607
           0.85        1.41411
           0.85        2.23567
           0.85        1.41366
            0.9       0.999928
            0.9         1.9986
            0.9       0.998674
            0.9       0.999928
            0.9        1.41463
            0.9        2.23528
            0.9        1.41341
            0.9         1.9986
            0.9        2.23528
            0.9        2.82697
            0.9        2.23434
            0.9       0.998674
            0.9        1.41341
            0.9        2.23434
            0.9        1.41234
           0.95        1.00001
